id,company_id,store_id,count_date,status,notes,confirmed_at,session_type,count_month
1,,1,2025-12-26,confirmed,,"2025-12-26 09:28:58",ad_hoc,
2,,1,2025-12-26,confirmed,,"2025-12-26 09:32:14",ad_hoc,
